run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0004,0.1443,0.0725,0.2813,0.1117,0.1483,0.7585
0,1,0.0004,0.1444,0.0742,0.2828,0.1117,0.1502,0.7637
0,2,0.0002,0.1443,0.0761,0.2844,0.1116,0.147,0.7636
0,3,0.0003,0.1445,0.0779,0.2856,0.1118,0.15,0.7701
0,4,0.0003,0.1443,0.0799,0.2873,0.1117,0.1472,0.7707
0,5,0.0003,0.1444,0.0821,0.2947,0.1144,0.1503,0.7862
0,6,0.0003,0.1448,0.0842,0.2903,0.1115,0.1471,0.7782
0,7,0.0003,0.1446,0.0868,0.2959,0.1144,0.1505,0.7925
0,8,0.0003,0.1445,0.0895,0.2938,0.1116,0.1471,0.7868
0,9,0.0003,0.1445,0.0921,0.2955,0.1142,0.1502,0.7968
0,10,0.0003,0.1447,0.0949,0.2974,0.1118,0.1476,0.7967
0,11,0.0003,0.1448,0.0982,0.3019,0.1119,0.1506,0.8077
0,12,0.0003,0.1449,0.1009,0.301,0.1116,0.1471,0.8058
0,13,0.0003,0.1456,0.1037,0.3056,0.1117,0.1504,0.8173
0,14,0.0003,0.1454,0.1067,0.3051,0.1117,0.1471,0.8163
0,15,0.0004,0.1482,0.1094,0.3094,0.1117,0.1503,0.8294
0,16,0.0002,0.1578,0.115,0.323,0.1126,0.1664,0.875
0,17,0.0003,0.1458,0.1172,0.3411,0.126,0.1686,0.899
0,18,0.0004,0.1645,0.141,0.3625,0.1344,0.1615,0.9643
0,19,0.0003,0.1696,0.1394,0.3163,0.1117,0.1502,0.8875
0,20,0.0004,0.1468,0.1202,0.3186,0.1119,0.1502,0.8481
0,21,0.0003,0.1472,0.1221,0.3214,0.1118,0.1473,0.8501
0,22,0.0003,0.1474,0.1236,0.3234,0.1137,0.1508,0.8592
0,23,0.0003,0.1477,0.1251,0.3256,0.1115,0.1472,0.8574
0,24,0.0003,0.1479,0.1276,0.3304,0.1117,0.1503,0.8682
0,25,0.0003,0.1481,0.1294,0.3296,0.1118,0.15,0.8692
