run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0172,0.174,0.2131,1.3463,0.0453,0.3377,2.1336
0,1,0.0042,0.1703,0.2163,1.3755,0.052,0.3344,2.1527
0,2,0.0059,0.171,0.2307,1.3779,0.0572,0.3368,2.1795
0,3,0.004,0.1715,0.2296,1.4103,0.0521,0.3315,2.199
0,4,0.0057,0.1714,0.2454,1.3958,0.0523,0.3269,2.1975
0,5,0.0061,0.1714,0.2501,1.4317,0.045,0.331,2.2353
0,6,0.0051,0.1743,0.2633,1.4089,0.052,0.3344,2.238
0,7,0.0062,0.1713,0.2776,1.4391,0.0447,0.3311,2.27
0,8,0.004,0.172,0.2938,1.45,0.045,0.3308,2.2956
0,9,0.0058,0.1722,0.3149,1.4486,0.0522,0.3318,2.3255
0,10,0.0043,0.1725,0.3312,1.4539,0.0448,0.3399,2.3466
0,11,0.0039,0.1767,0.3597,1.4802,0.0449,0.3309,2.3963
0,12,0.0039,0.1758,0.3748,1.5008,0.0523,0.3349,2.4425
0,13,0.0062,0.173,0.3927,1.5038,0.0449,0.3317,2.4523
0,14,0.0042,0.1727,0.4162,1.4968,0.0448,0.3267,2.4614
0,15,0.0035,0.1719,0.4264,1.5041,0.0523,0.3255,2.4837
0,16,0.0058,0.1717,0.4429,1.5412,0.0529,0.327,2.5415
0,17,0.0056,0.1721,0.4597,1.5388,0.0448,0.3262,2.5472
0,18,0.0039,0.1731,0.4706,1.5444,0.052,0.3273,2.5713
0,19,0.0045,0.2048,0.4845,1.5652,0.0523,0.3267,2.638
0,20,0.0058,0.1742,0.4984,1.5812,0.0521,0.3363,2.648
0,21,0.0055,0.1745,0.5118,1.6363,0.0464,0.3321,2.7066
0,22,0.0059,0.1761,0.523,1.6439,0.0522,0.3307,2.7318
0,23,0.0038,0.1781,0.5227,1.6347,0.0524,0.3265,2.7182
0,24,0.0037,0.1779,0.5294,1.652,0.0537,0.3268,2.7435
0,25,0.0038,0.1766,0.5373,1.6841,0.0523,0.334,2.7881
0,26,0.0063,0.1785,0.5529,1.6973,0.0522,0.3262,2.8134
0,27,0.006,0.1775,0.5468,1.7117,0.0525,0.3271,2.8216
0,28,0.0038,0.1781,0.5474,1.7239,0.0447,0.3274,2.8253
0,29,0.0039,0.1788,0.5492,1.7204,0.0523,0.3301,2.8347
0,30,0.004,0.1802,0.5504,1.7516,0.0451,0.3277,2.859
0,31,0.0037,0.1799,0.5487,1.7716,0.0524,0.3303,2.8866
0,32,0.004,0.182,0.5622,1.8163,0.0449,0.3356,2.945
0,33,0.0039,0.1829,0.5575,1.8318,0.045,0.3292,2.9503
