run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0026,0.0425,0.0584,0.3321,0.0295,0.0963,0.5614
0,1,0.0012,0.0422,0.0561,0.3353,0.0225,0.0916,0.5489
0,2,0.0011,0.043,0.0596,0.3418,0.028,0.0911,0.5646
0,3,0.0011,0.0422,0.0611,0.3409,0.029,0.0916,0.5659
0,4,0.0011,0.0407,0.0606,0.3472,0.0293,0.0913,0.5702
0,5,0.001,0.0427,0.0659,0.3444,0.0292,0.0913,0.5745
0,6,0.001,0.0411,0.0693,0.3455,0.0287,0.1008,0.5864
0,7,0.0041,0.0461,0.072,0.3437,0.0297,0.0926,0.5882
0,8,0.001,0.0424,0.0768,0.3504,0.0299,0.0939,0.5944
0,9,0.0011,0.0438,0.0834,0.3599,0.0183,0.0939,0.6004
0,10,0.0013,0.0414,0.085,0.3603,0.0296,0.0911,0.6087
0,11,0.0009,0.0437,0.0887,0.3587,0.0301,0.0907,0.6128
0,12,0.0012,0.0421,0.0934,0.3665,0.0303,0.0919,0.6254
0,13,0.0009,0.0433,0.096,0.3654,0.0295,0.0928,0.6279
0,14,0.0013,0.0464,0.1529,0.385,0.0195,0.0928,0.6979
0,15,0.001,0.0417,0.1035,0.3748,0.0325,0.0923,0.6458
0,16,0.0011,0.0452,0.1491,0.3986,0.0165,0.0935,0.704
0,17,0.0012,0.0421,0.1075,0.3816,0.0286,0.092,0.653
0,18,0.001,0.0427,0.1118,0.3865,0.0304,0.0909,0.6633
0,19,0.0014,0.0419,0.1145,0.3884,0.0302,0.0924,0.6688
0,20,0.0011,0.0418,0.1164,0.3952,0.0296,0.0878,0.6719
0,21,0.001,0.041,0.1142,0.406,0.0292,0.0907,0.6821
0,22,0.0015,0.0463,0.1508,0.4311,0.0207,0.0926,0.743
0,23,0.001,0.0442,0.1183,0.4197,0.0298,0.0911,0.7041
0,24,0.001,0.0432,0.1185,0.4151,0.0301,0.0878,0.6957
0,25,0.0011,0.0423,0.1181,0.423,0.0296,0.0908,0.7049
0,26,0.0017,0.043,0.1192,0.4228,0.0303,0.0894,0.7064
0,27,0.0018,0.0423,0.1214,0.4303,0.0296,0.0912,0.7166
0,28,0.0011,0.0432,0.1203,0.4332,0.0292,0.0911,0.7181
0,29,0.0013,0.042,0.1196,0.4393,0.0297,0.0911,0.723
0,30,0.001,0.0431,0.12,0.4339,0.0292,0.0915,0.7187
0,31,0.0011,0.0439,0.1179,0.4445,0.0298,0.091,0.7282
0,32,0.001,0.0434,0.1213,0.4468,0.0302,0.0938,0.7365
0,33,0.0011,0.0434,0.122,0.4523,0.0302,0.0906,0.7396
0,34,0.001,0.0475,0.1288,0.4659,0.0208,0.0914,0.7554
0,35,0.0012,0.043,0.1232,0.4649,0.0306,0.091,0.7539
0,36,0.0011,0.0435,0.1247,0.4728,0.02,0.0906,0.7527
0,37,0.0011,0.0439,0.125,0.4648,0.0297,0.0909,0.7554
0,38,0.0011,0.0493,0.1248,0.467,0.0294,0.0935,0.7651
0,39,0.001,0.0428,0.1265,0.4795,0.0303,0.0909,0.771
0,40,0.0011,0.0445,0.1252,0.4858,0.0291,0.0912,0.7769
0,41,0.001,0.0438,0.1274,0.484,0.0304,0.0908,0.7774
0,42,0.001,0.0444,0.1286,0.4757,0.0288,0.0909,0.7694
0,43,0.0041,0.0434,0.1277,0.4842,0.0307,0.0905,0.7806
0,44,0.001,0.0442,0.1276,0.494,0.0306,0.0911,0.7885
0,45,0.0011,0.0441,0.1247,0.4861,0.0302,0.0905,0.7767
0,46,0.0041,0.0437,0.1275,0.4938,0.028,0.0911,0.7882
0,47,0.0012,0.044,0.1281,0.5041,0.0301,0.0911,0.7986
0,48,0.001,0.0457,0.1291,0.487,0.0294,0.0909,0.7831
0,49,0.0014,0.0434,0.1265,0.4953,0.0302,0.0887,0.7855
0,50,0.0019,0.0441,0.1286,0.4967,0.0291,0.092,0.7924
0,51,0.0011,0.0449,0.1701,0.5147,0.0226,0.0945,0.8479
0,52,0.002,0.0444,0.1343,0.504,0.0299,0.0938,0.8084
0,53,0.0011,0.0443,0.134,0.5631,0.0276,0.0994,0.8695
0,54,0.0012,0.044,0.1338,0.5128,0.0301,0.0913,0.8132
0,55,0.0011,0.0459,0.182,0.5333,0.0205,0.0914,0.8742
0,56,0.0012,0.0444,0.1355,0.5121,0.0285,0.088,0.8097
0,57,0.0013,0.0491,0.1757,0.5328,0.0304,0.0898,0.8791
0,58,0.004,0.0448,0.132,0.5135,0.0295,0.0881,0.8119
0,59,0.001,0.0443,0.1351,0.5204,0.0299,0.0909,0.8216
0,60,0.001,0.0453,0.1377,0.5419,0.0193,0.0928,0.838
0,61,0.0014,0.0446,0.1419,0.5425,0.0313,0.0949,0.8566
0,62,0.0011,0.0449,0.1384,0.5178,0.0307,0.0909,0.8238
0,63,0.001,0.0443,0.1391,0.522,0.0293,0.0912,0.8269
0,64,0.0011,0.0455,0.1394,0.5255,0.0303,0.0914,0.8332
0,65,0.0011,0.0442,0.1366,0.5197,0.0297,0.0916,0.8229
