run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.007,2.8764,0.8105,3.3956,1.7016,1.1036,9.8947
0,1,0.005,3.2339,0.6851,3.6099,1.8234,1.3577,10.715
0,2,0.0062,2.8285,0.5634,3.3724,1.8234,1.121,9.7149
0,3,0.0059,2.8082,0.5849,3.5889,1.7224,1.07,9.7803
0,4,0.0051,2.8327,0.612,3.5254,1.6898,1.0683,9.7333
0,5,0.0164,3.1815,0.6312,3.5794,1.7269,1.1193,10.2547
0,6,0.0045,2.8022,0.6567,3.3803,1.7254,1.0625,9.6316
0,7,0.0055,2.813,0.6901,3.3958,1.7169,1.0664,9.6877
0,8,0.0055,2.8848,0.7391,3.5977,1.6993,1.0747,10.0011
0,9,0.0051,2.9558,0.902,3.4001,1.613,1.094,9.97
0,10,0.0067,2.938,0.7988,3.5193,2.3646,1.2336,10.861
0,11,0.0048,2.8051,0.8334,3.5566,1.6979,1.1204,10.0182
0,12,0.0046,2.8054,0.8599,3.4189,1.7035,1.0775,9.8698
0,13,0.0055,2.9839,0.9468,3.4498,1.6882,1.0798,10.154
0,14,0.0046,2.9353,0.9487,3.5221,1.6933,1.2767,10.3807
0,15,0.0046,2.8416,0.978,3.4352,2.051,1.0789,10.3893
0,16,0.0048,2.8268,0.9946,3.4367,1.7047,1.0635,10.0311
0,17,0.0044,2.8578,1.0411,3.4358,1.7077,1.0607,10.1075
0,18,0.0052,3.0307,1.138,3.4711,1.6943,1.198,10.5373
0,19,0.0045,2.7967,1.0873,3.4831,1.7305,1.0688,10.1709
0,20,0.0049,2.8392,1.1211,3.6855,1.7611,1.0977,10.5095
0,21,0.0045,2.9756,1.1475,3.4765,1.697,1.0811,10.3822
0,22,0.0048,2.8065,1.167,3.4763,1.6997,1.1903,10.3446
0,23,0.0049,2.7993,1.1795,3.5035,1.6989,1.0689,10.255
0,24,0.0062,2.8468,1.3752,3.5924,1.7319,1.1191,10.6716
0,25,0.0042,2.8311,1.2191,3.5122,1.702,1.0779,10.3465
0,26,0.0054,2.8161,1.2398,3.4966,1.793,1.2352,10.5861
0,27,0.0047,2.803,1.2721,3.693,1.7014,1.0708,10.545
0,28,0.0057,2.9406,1.3432,3.4917,1.695,1.0856,10.5618
0,29,0.0045,2.8463,1.3293,3.5288,1.7475,1.1185,10.5749
0,30,0.0051,2.7906,1.3109,3.7016,1.6166,1.1067,10.5315
0,31,0.0045,2.79,1.3168,3.5416,1.7161,1.0868,10.4558
0,32,0.0046,2.9747,1.3519,3.5619,1.7035,1.2228,10.8194
0,33,0.0044,2.9088,1.3887,3.6876,1.6946,1.0951,10.7792
0,34,0.0044,2.8252,1.3601,3.7428,1.7083,1.1156,10.7564
0,35,0.0046,2.8027,1.3565,3.6028,1.6942,1.0809,10.5417
0,36,0.0071,2.8044,1.3935,3.5937,1.6711,1.0903,10.5601
0,37,0.0054,2.8347,1.4072,3.6871,1.6088,1.1067,10.6499
0,38,0.0047,2.9393,1.4042,3.5681,1.6939,1.0816,10.6918
0,39,0.0047,2.853,1.4517,3.595,1.8226,1.0876,10.8146
0,40,0.0046,2.7992,1.422,3.565,1.7136,1.0712,10.5756
0,41,0.0046,2.8017,1.5131,3.5698,1.704,1.0616,10.6548
0,42,0.0045,2.7918,1.4473,3.6125,1.733,1.0659,10.655
0,43,0.0045,2.851,1.4582,3.6485,1.7455,1.1048,10.8125
0,44,0.0047,2.7937,1.4771,3.6335,1.856,1.1246,10.8896
0,45,0.0048,2.866,1.5198,3.6681,1.7501,1.1096,10.9184
0,46,0.0053,2.9172,1.5544,3.7412,1.8179,1.1095,11.1455
0,47,0.0052,2.8803,1.7232,3.6138,1.6987,1.0792,11.0004
0,48,0.0048,2.8796,1.7619,3.6201,1.9049,1.0789,11.2502
0,49,0.0055,2.7869,1.5276,3.6247,1.7098,1.0703,10.7248
0,50,0.0048,2.9665,1.5721,3.6452,1.7277,1.0827,10.999
0,51,0.0054,2.7875,1.553,3.6345,1.7011,1.0667,10.7482
0,52,0.006,2.79,1.6223,3.6841,1.7083,1.1163,10.927
0,53,0.0061,3.37,2.1748,3.8763,1.6923,1.1056,12.2251
0,54,0.0059,2.8207,1.7429,3.6833,1.7874,1.1278,11.168
0,55,0.0055,2.8089,1.9474,3.6913,1.6977,1.0753,11.2261
0,56,0.0056,2.8473,1.6206,3.6738,1.6965,1.1731,11.0169
0,57,0.0051,2.7826,1.6275,4.5002,1.6493,1.092,11.6567
0,58,0.005,2.7974,1.8307,3.68,1.7411,1.0725,11.1267
0,59,0.0044,2.7831,1.6618,3.6589,1.7856,1.0641,10.9579
0,60,0.0057,2.8141,1.6871,3.8405,1.6981,1.0848,11.1303
0,61,0.0045,2.8084,1.6917,3.6634,1.701,1.0609,10.9299
0,62,0.0055,2.7863,1.7771,3.6971,1.8033,1.0826,11.1519
0,63,0.0054,2.7845,1.7052,3.7476,1.7318,1.0777,11.0522
0,64,0.0043,2.8544,1.7222,4.4195,1.7035,1.0814,11.7853
0,65,0.0048,2.7817,1.7274,3.6913,1.7355,1.067,11.0077
0,66,0.0047,2.8605,1.7656,3.8579,1.7014,1.1053,11.2954
0,67,0.0054,2.7763,1.7531,3.6941,1.7004,1.0735,11.0028
0,68,0.0053,2.7902,1.7702,3.8744,1.6919,1.0749,11.2069
0,69,0.005,2.9185,1.9259,3.7245,1.6904,1.0748,11.3391
0,70,0.0049,2.7821,1.8644,3.7503,1.7048,1.2309,11.3374
0,71,0.0046,2.776,1.7952,3.7572,1.7062,1.0656,11.1048
0,72,0.0053,2.803,1.8134,3.798,1.7336,1.1642,11.3175
0,73,0.0052,2.867,1.8345,3.7606,1.7335,1.2243,11.4251
0,74,0.0046,2.7847,1.8696,3.8162,1.6901,1.0728,11.238
