run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0085,0.0814,0.0285,0.4471,0.021,0.1899,0.7764
0,1,0.0047,0.0693,0.021,0.4438,0.0203,0.1446,0.7037
0,2,0.0041,0.0502,0.0226,0.4381,0.0178,0.1327,0.6655
0,3,0.0033,0.0513,0.0252,0.4465,0.0203,0.1417,0.6883
0,4,0.006,0.0524,0.0277,0.4537,0.0253,0.2563,0.8214
0,5,0.0055,0.0568,0.0298,0.4424,0.0197,0.1426,0.6968
0,6,0.0043,0.0515,0.0332,0.4475,0.0195,0.1476,0.7036
0,7,0.0042,0.0515,0.0347,0.4488,0.0181,0.1337,0.691
0,8,0.0037,0.0564,0.0376,0.4454,0.0201,0.1387,0.7019
0,9,0.0033,0.0474,0.045,0.4489,0.0185,0.1343,0.6974
0,10,0.0035,0.0476,0.0478,0.4482,0.018,0.137,0.7021
0,11,0.0035,0.0523,0.0499,0.4447,0.0181,0.1374,0.7059
0,12,0.004,0.0519,0.0482,0.4514,0.0193,0.1423,0.7171
0,13,0.0057,0.0572,0.0508,0.4829,0.0206,0.1438,0.761
0,14,0.0053,0.0531,0.053,0.4604,0.0196,0.1702,0.7616
0,15,0.0053,0.0615,0.0559,0.4461,0.0202,0.1592,0.7482
0,16,0.0047,0.0573,0.0565,0.4415,0.0194,0.1612,0.7406
0,17,0.0047,0.061,0.0581,0.4395,0.0191,0.1552,0.7376
0,18,0.0041,0.0595,0.0638,0.4449,0.0199,0.1646,0.7568
0,19,0.0047,0.0613,0.0625,0.4413,0.0193,0.1554,0.7445
0,20,0.0046,0.0579,0.0636,0.4492,0.0195,0.4207,1.0155
0,21,0.0049,0.058,0.0642,0.4437,0.0197,0.1407,0.7312
0,22,0.0051,0.0529,0.0667,0.4573,0.0196,0.1553,0.7569
0,23,0.0047,0.0577,0.0709,0.4461,0.0182,0.1323,0.7299
0,24,0.0043,0.0499,0.0701,0.4452,0.0199,0.16,0.7494
0,25,0.0044,0.0624,0.0698,0.4456,0.0193,0.1598,0.7613
0,26,0.0057,0.0609,0.0762,0.4461,0.0198,0.1535,0.7622
0,27,0.0049,0.058,0.0724,0.4541,0.0224,0.1319,0.7437
0,28,0.0045,0.0551,0.0735,0.4528,0.0183,0.1386,0.7428
0,29,0.0047,0.0517,0.0819,0.4532,0.0198,0.1685,0.7798
0,30,0.0048,0.0599,0.0776,0.4581,0.0201,0.166,0.7865
0,31,0.0048,0.0638,0.0764,0.4483,0.0191,0.1549,0.7673
0,32,0.0047,0.0579,0.0849,0.444,0.0193,0.1525,0.7633
0,33,0.0045,0.0588,0.0785,0.4485,0.0191,0.1542,0.7636
0,34,0.0048,0.0633,0.0797,0.4459,0.0224,0.1525,0.7686
0,35,0.0042,0.0564,0.081,0.4539,0.0192,0.1616,0.7763
0,36,0.0042,0.0634,0.0844,0.4655,0.0185,0.135,0.771
0,37,0.0045,0.051,0.088,0.4484,0.0188,0.1536,0.7643
0,38,0.0047,0.0574,0.0842,0.4505,0.0192,0.154,0.77
0,39,0.0047,0.06,0.0912,0.4474,0.023,0.1477,0.774
0,40,0.005,0.06,0.094,0.4763,0.0199,0.1532,0.8084
0,41,0.005,0.0598,0.0894,0.4575,0.0192,0.1505,0.7814
0,42,0.0039,0.0716,0.0905,0.4507,0.0196,0.1608,0.7971
0,43,0.0037,0.0655,0.0972,0.4597,0.0201,0.147,0.7932
0,44,0.0049,0.0525,0.0905,0.4516,0.0197,0.1625,0.7817
0,45,0.0048,0.0678,0.0944,0.4664,0.0184,0.1349,0.7867
0,46,0.0046,0.0542,0.0998,0.4595,0.02,0.1629,0.801
0,47,0.0047,0.0629,0.0956,0.4637,0.0196,0.1614,0.8079
0,48,0.0047,0.0675,0.0977,0.4647,0.02,0.1541,0.8087
0,49,0.0049,0.0622,0.1006,0.4613,0.0196,0.162,0.8106
0,50,0.0047,0.0634,0.0974,0.505,0.0198,0.1422,0.8325
0,51,0.0043,0.0553,0.1016,0.4681,0.02,0.14,0.7893
0,52,0.0045,0.0557,0.1057,0.4589,0.0229,0.1566,0.8043
0,53,0.0049,0.0649,0.1068,0.4607,0.0196,0.1667,0.8236
0,54,0.0047,0.0653,0.1055,0.4636,0.0194,0.1641,0.8226
0,55,0.0049,0.0691,0.1035,0.464,0.0196,0.1637,0.8248
0,56,0.0048,0.0646,0.1104,0.4672,0.0207,0.1517,0.8194
0,57,0.0046,0.0631,0.1097,0.4507,0.0194,0.1543,0.8018
0,58,0.0035,0.0602,0.103,0.4583,0.0192,0.1527,0.7969
0,59,0.0044,0.0707,0.1036,0.4591,0.0198,0.1357,0.7933
0,60,0.0041,0.0579,0.1104,0.4623,0.0229,0.1663,0.8239
0,61,0.0051,0.0647,0.1142,0.4662,0.0184,0.1388,0.8074
0,62,0.0047,0.0569,0.179,0.5161,0.021,0.1678,0.9455
0,63,0.0055,0.0723,0.1175,0.4642,0.0238,0.1366,0.8199
0,64,0.005,0.06,0.1123,0.4626,0.0191,0.1612,0.8202
0,65,0.0051,0.0679,0.1051,0.4479,0.0178,0.1332,0.777
0,66,0.0047,0.0619,0.1138,0.4527,0.018,0.1509,0.802
0,67,0.0046,0.0763,0.1169,0.4697,0.0191,0.1467,0.8333
0,68,0.0049,0.0677,0.114,0.4475,0.0184,0.1296,0.7821
0,69,0.0048,0.0576,0.1137,0.4449,0.0189,0.1556,0.7955
0,70,0.0051,0.0681,0.1096,0.4714,0.0185,0.1384,0.8111
0,71,0.0072,0.0666,0.1323,0.4453,0.0189,0.1404,0.8107
0,72,0.0051,0.0577,0.1122,0.451,0.0177,0.1327,0.7764
0,73,0.0045,0.063,0.1114,0.4506,0.0191,0.1492,0.7978
0,74,0.0046,0.0658,0.1164,0.4508,0.0189,0.1536,0.8101
0,75,0.0052,0.0721,0.1119,0.4505,0.019,0.1469,0.8056
0,76,0.0049,0.069,0.119,0.4562,0.0187,0.1357,0.8035
0,77,0.0041,0.0579,0.119,0.447,0.0188,0.1386,0.7854
0,78,0.0052,0.0586,0.1148,0.4531,0.0182,0.1342,0.7841
0,79,0.0043,0.0582,0.1157,0.457,0.0184,0.1391,0.7927
0,80,0.0051,0.0628,0.116,0.4513,0.0188,0.1353,0.7893
0,81,0.0037,0.0582,0.1206,0.5836,0.0178,0.1368,0.9207
0,82,0.0041,0.0587,0.1218,0.4521,0.0195,0.1355,0.7917
0,83,0.0048,0.0583,0.1185,0.4526,0.0192,0.1402,0.7936
0,84,0.0044,0.0589,0.1184,0.4532,0.0188,0.1435,0.7972
0,85,0.0038,0.0628,0.117,0.4527,0.0187,0.1398,0.7948
0,86,0.0045,0.0588,0.1528,0.4579,0.0178,0.1289,0.8207
0,87,0.0048,0.0595,0.1233,0.4491,0.019,0.1382,0.7939
0,88,0.0044,0.0583,0.1254,0.4508,0.0178,0.1415,0.7982
0,89,0.0041,0.0586,0.1245,0.4505,0.0191,0.1398,0.7966
0,90,0.0045,0.059,0.1212,0.4556,0.0187,0.132,0.791
0,91,0.0044,0.0637,0.1211,0.4548,0.0185,0.1355,0.798
0,92,0.0047,0.0627,0.1252,0.4561,0.0189,0.1476,0.8152
0,93,0.0046,0.0689,0.1269,0.4544,0.0198,0.133,0.8076
0,94,0.0048,0.0693,0.1272,0.4914,0.0184,0.1294,0.8405
0,95,0.0052,0.0597,0.1276,0.4531,0.0189,0.147,0.8115
0,96,0.0049,0.0698,0.1287,0.5885,0.0179,0.1296,0.9394
0,97,0.0048,0.0596,0.1275,0.4579,0.0227,0.1297,0.8022
0,98,0.0049,0.0594,0.1278,0.4594,0.0189,0.1524,0.8228
0,99,0.0054,0.0689,0.1357,0.5996,0.0191,0.1459,0.9746
0,100,0.0057,0.0683,0.1252,0.457,0.0172,0.1366,0.81
0,101,0.0036,0.064,0.1489,0.4781,0.0201,0.1362,0.8509
0,102,0.0035,0.0644,0.1257,0.4575,0.0186,0.1504,0.8201
0,103,0.0046,0.0797,0.1268,0.4586,0.0189,0.1478,0.8364
0,104,0.0045,0.0716,0.1259,0.4584,0.0177,0.1294,0.8075
0,105,0.0052,0.0595,0.1315,0.4591,0.0188,0.1573,0.8314
0,106,0.0056,0.069,0.1313,0.4565,0.0198,0.1339,0.8161
0,107,0.0049,0.0753,0.1271,0.4586,0.0177,0.1294,0.813
0,108,0.0043,0.0602,0.1339,0.4645,0.0187,0.1518,0.8334
0,109,0.0079,0.0703,0.1319,0.4594,0.0198,0.1356,0.8249
0,110,0.0048,0.0669,0.1343,0.4666,0.0179,0.1302,0.8207
