run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0072,0.0566,0.034,0.545,0.0272,0.158,0.828
0,1,0.0051,0.0522,0.0295,0.5347,0.0593,0.1939,0.8747
0,2,0.0062,0.0906,0.0313,0.5058,0.0468,0.1741,0.8548
0,3,0.0053,0.0603,0.0348,0.4853,0.0369,0.1855,0.8081
0,4,0.0068,0.0546,0.0462,0.5994,0.0332,0.1527,0.8929
0,5,0.0059,0.0485,0.0426,0.4807,0.0265,0.1465,0.7507
0,6,0.0052,0.054,0.041,0.4909,0.0248,0.1444,0.7603
0,7,0.0056,0.0537,0.0428,0.6092,0.0268,0.1456,0.8837
0,8,0.0049,0.0658,0.0442,0.4759,0.0269,0.142,0.7597
0,9,0.0058,0.0508,0.0468,0.469,0.0279,0.1469,0.7472
0,10,0.005,0.05,0.0623,0.5977,0.0319,0.1486,0.8955
0,11,0.0053,0.0503,0.0675,0.596,0.0269,0.1453,0.8913
0,12,0.0052,0.0529,0.055,0.4656,0.0252,0.1428,0.7467
0,13,0.0065,0.0469,0.0622,0.4693,0.0326,0.1459,0.7634
0,14,0.0047,0.0564,0.0608,0.468,0.0247,0.1526,0.7672
0,15,0.0039,0.0351,0.0626,0.4724,0.0267,0.1446,0.7453
0,16,0.0057,0.0523,0.0808,0.5928,0.029,0.1434,0.904
0,17,0.0054,0.0586,0.0714,0.468,0.0254,0.1472,0.776
0,18,0.0054,0.0489,0.072,0.4765,0.0221,0.1445,0.7694
0,19,0.005,0.0536,0.0961,0.598,0.0284,0.1514,0.9325
0,20,0.0049,0.0428,0.0915,0.6004,0.0289,0.1476,0.9161
0,21,0.0052,0.0517,0.0722,0.4659,0.0248,0.1418,0.7616
0,22,0.005,0.0495,0.0756,0.4603,0.1109,0.1527,0.854
0,23,0.0055,0.0365,0.0762,0.471,0.0237,0.1398,0.7527
0,24,0.0045,0.0512,0.0833,0.4677,0.0302,0.1459,0.7828
0,25,0.0047,0.0526,0.0739,0.4756,0.0465,0.1385,0.7918
0,26,0.0051,0.0558,0.0784,0.4661,0.0504,0.1845,0.8403
0,27,0.0054,0.0635,0.0916,0.4739,0.0363,0.1626,0.8333
0,28,0.0049,0.0605,0.0834,0.4724,0.0417,0.1594,0.8223
0,29,0.0046,0.0615,0.0881,0.4873,0.0388,0.1838,0.8641
0,30,0.0066,0.0876,0.0895,0.4629,0.044,0.1676,0.8582
0,31,0.0062,0.0704,0.1176,0.6037,0.0287,0.1547,0.9813
0,32,0.0057,0.0595,0.087,0.4711,0.023,0.1513,0.7976
0,33,0.0051,0.0522,0.1174,0.603,0.0341,0.1478,0.9596
0,34,0.0043,0.0383,0.0891,0.4655,0.0249,0.1422,0.7643
0,35,0.0051,0.0524,0.1221,0.6058,0.0297,0.1478,0.9629
0,36,0.0052,0.0537,0.0981,0.462,0.0236,0.1444,0.787
0,37,0.0057,0.0637,0.0982,0.4768,0.0244,0.1468,0.8156
0,38,0.0054,0.0516,0.119,0.6514,0.0308,0.1574,1.0156
0,39,0.0054,0.0516,0.0991,0.4919,0.0248,0.1437,0.8165
0,40,0.0051,0.0597,0.1004,0.4727,0.0258,0.1481,0.8118
0,41,0.0047,0.0544,0.1045,0.4636,0.0268,0.15,0.804
0,42,0.0048,0.0517,0.126,0.6062,0.0287,0.1448,0.9622
0,43,0.0048,0.0356,0.1272,0.6077,0.0372,0.1434,0.9559
0,44,0.0058,0.0581,0.1256,0.5963,0.0278,0.1677,0.9813
0,45,0.0056,0.0507,0.1326,0.6172,0.0305,0.1483,0.9849
0,46,0.0055,0.0631,0.1363,0.6097,0.0325,0.1478,0.9949
0,47,0.0051,0.0569,0.1315,0.613,0.0313,0.1481,0.9859
0,48,0.0053,0.0633,0.1073,0.467,0.0266,0.1409,0.8104
0,49,0.0053,0.0513,0.1365,0.5909,0.0284,0.1477,0.9601
0,50,0.0061,0.0585,0.1332,0.5933,0.0259,0.1499,0.9669
0,51,0.0051,0.0583,0.1362,0.6089,0.0294,0.144,0.9819
0,52,0.0054,0.0578,0.1363,0.6136,0.0445,0.1422,0.9998
0,53,0.0052,0.0517,0.1113,0.4679,0.0404,0.1562,0.8327
0,54,0.0049,0.0657,0.1102,0.4686,0.0238,0.1474,0.8206
0,55,0.0051,0.0545,0.114,0.4654,0.0293,0.1424,0.8107
0,56,0.0051,0.0513,0.1099,0.473,0.0267,0.1447,0.8107
0,57,0.0039,0.0349,0.1107,0.4679,0.0278,0.1475,0.7927
0,58,0.0049,0.0554,0.1122,0.4645,0.0236,0.1476,0.8082
0,59,0.005,0.0555,0.118,0.4638,0.0254,0.142,0.8097
0,60,0.005,0.0514,0.1153,0.4761,0.0241,0.1443,0.8162
0,61,0.0047,0.0533,0.1195,0.5905,0.0392,0.1433,0.9505
0,62,0.005,0.055,0.1486,0.6059,0.0285,0.1478,0.9908
0,63,0.0056,0.0463,0.1503,0.6215,0.0328,0.1442,1.0007
0,64,0.005,0.0549,0.1236,0.4671,0.0263,0.1441,0.821
0,65,0.0045,0.052,0.1179,0.4699,0.0228,0.1568,0.8239
0,66,0.0048,0.0505,0.1181,0.4698,0.0321,0.1512,0.8265
0,67,0.0048,0.0571,0.1201,0.4709,0.0274,0.1429,0.8232
0,68,0.0051,0.0543,0.16,0.6208,0.0301,0.1468,1.0171
0,69,0.0056,0.0556,0.1515,0.6236,0.0318,0.1458,1.0139
0,70,0.0053,0.0502,0.1528,0.6226,0.0281,0.1416,1.0006
0,71,0.0055,0.0509,0.1221,0.4711,0.0291,0.1853,0.864
0,72,0.0082,0.0475,0.1223,0.6135,0.0293,0.1453,0.9661
0,73,0.0047,0.036,0.1439,0.5451,0.0624,0.1686,0.9607
0,74,0.0045,0.0837,0.1222,0.5187,0.0278,0.1599,0.9168
0,75,0.0044,0.0356,0.1291,0.4761,0.0302,0.1502,0.8256
0,76,0.0049,0.0615,0.1605,0.6232,0.0298,0.1498,1.0297
0,77,0.0059,0.0523,0.1704,0.6256,0.0312,0.1471,1.0325
0,78,0.0057,0.0548,0.1663,0.6082,0.0277,0.1431,1.0058
0,79,0.0056,0.0542,0.1697,0.6298,0.0298,0.1482,1.0373
0,80,0.0058,0.0542,0.1261,0.4783,0.0405,0.1468,0.8517
0,81,0.005,0.0545,0.1327,0.4708,0.0277,0.1415,0.8322
0,82,0.005,0.0528,0.1282,0.4905,0.0278,0.158,0.8623
0,83,0.0053,0.0578,0.1683,0.6261,0.0282,0.1495,1.0352
0,84,0.005,0.0364,0.1349,0.4716,0.0286,0.1431,0.8196
0,85,0.0052,0.0549,0.1294,0.5048,0.0214,0.1427,0.8584
0,86,0.005,0.0561,0.1283,0.6171,0.0267,0.1417,0.9749
0,87,0.0043,0.0457,0.1283,0.4765,0.0314,0.1482,0.8344
0,88,0.0051,0.0566,0.1663,0.6317,0.0282,0.146,1.0339
0,89,0.0057,0.056,0.1664,0.6283,0.0283,0.147,1.0317
0,90,0.0052,0.0559,0.1379,0.4691,0.026,0.1441,0.8382
0,91,0.0051,0.0534,0.1325,0.4733,0.0253,0.1421,0.8317
0,92,0.0045,0.0447,0.1381,0.4736,0.0299,0.1419,0.8327
0,93,0.0041,0.0505,0.1738,0.6118,0.0283,0.1472,1.0157
0,94,0.0054,0.0543,0.175,0.6292,0.0278,0.1419,1.0336
0,95,0.0053,0.0536,0.1319,0.4828,0.0388,0.1426,0.855
0,96,0.0043,0.0344,0.1783,0.6291,0.0442,0.1657,1.056
