run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0258,0.2311,0.2057,0.6459,0.1408,0.0548,1.3041
0,1,0.0026,0.2306,0.0227,0.4807,0.1418,0.0484,0.9268
0,2,0.0004,0.2306,0.0244,0.3422,0.1409,0.0511,0.7896
0,3,0.0005,0.2307,0.0262,0.3431,0.1413,0.0476,0.7894
0,4,0.0005,0.232,0.0284,0.3472,0.1409,0.0508,0.7998
0,5,0.0004,0.231,0.03,0.348,0.1418,0.048,0.7992
0,6,0.0004,0.2583,0.0325,0.3522,0.1416,0.0506,0.8356
0,7,0.0004,0.2297,0.036,0.349,0.1404,0.0461,0.8016
0,8,0.0005,0.2298,0.0383,0.3535,0.1419,0.0504,0.8144
0,9,0.0004,0.2294,0.0413,0.3485,0.1429,0.0477,0.8102
0,10,0.0004,0.2321,0.0426,0.3481,0.1406,0.0507,0.8145
0,11,0.0005,0.2301,0.0459,0.351,0.1398,0.0474,0.8147
0,12,0.0005,0.2314,0.0468,0.3515,0.1405,0.0508,0.8215
0,13,0.0004,0.2298,0.0491,0.352,0.1403,0.0476,0.8192
0,14,0.0004,0.2316,0.0507,0.3567,0.1409,0.051,0.8313
0,15,0.0005,0.2301,0.0518,0.3534,0.141,0.0508,0.8276
0,16,0.0004,0.2293,0.0535,0.3551,0.1404,0.0483,0.827
0,17,0.0005,0.231,0.0533,0.3642,0.1409,0.0477,0.8376
0,18,0.0004,0.2415,0.0547,0.3773,0.1432,0.0513,0.8684
0,19,0.0005,0.2307,0.0561,0.3567,0.1399,0.0507,0.8346
0,20,0.0005,0.2319,0.0578,0.3585,0.1414,0.0471,0.8372
0,21,0.0004,0.2322,0.0584,0.361,0.1409,0.0507,0.8436
0,22,0.0005,0.23,0.061,0.3582,0.1407,0.0473,0.8377
0,23,0.0005,0.2313,0.0627,0.3627,0.1403,0.0505,0.848
0,24,0.0005,0.2305,0.0633,0.3596,0.1395,0.0507,0.8441
0,25,0.0005,0.2319,0.0675,0.3609,0.1406,0.0481,0.8495
0,26,0.0004,0.2303,0.0658,0.3607,0.1404,0.0459,0.8435
0,27,0.0005,0.2334,0.0673,0.3656,0.1431,0.0476,0.8575
0,28,0.0005,0.232,0.0695,0.3657,0.1398,0.046,0.8535
0,29,0.0004,0.2309,0.0694,0.3644,0.1406,0.0506,0.8563
0,30,0.0004,0.2299,0.0696,0.3647,0.1403,0.0483,0.8532
0,31,0.0004,0.23,0.0711,0.3645,0.1403,0.0467,0.853
0,32,0.0004,0.2301,0.0717,0.3658,0.1436,0.0506,0.8622
0,33,0.0005,0.2303,0.071,0.3659,0.1411,0.0475,0.8563
0,34,0.0005,0.2318,0.0731,0.3698,0.1414,0.0507,0.8673
0,35,0.0005,0.2311,0.0753,0.3678,0.1404,0.0478,0.8629
0,36,0.0005,0.2317,0.0765,0.3715,0.1456,0.0505,0.8763
0,37,0.0004,0.2304,0.078,0.3703,0.1429,0.0507,0.8727
0,38,0.0005,0.2337,0.0798,0.3699,0.1404,0.0495,0.8738
0,39,0.0005,0.2327,0.0809,0.3776,0.1417,0.0509,0.8843
0,40,0.0005,0.2307,0.0824,0.3744,0.1429,0.0506,0.8815
0,41,0.0005,0.2322,0.083,0.371,0.1399,0.0504,0.877
0,42,0.0005,0.23,0.0835,0.3754,0.1409,0.0473,0.8776
