run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0022,0.0116,0.0143,0.0971,0.0037,0.0265,0.1554
0,1,0.0013,0.0109,0.0143,0.1006,0.0044,0.0249,0.1564
0,2,0.001,0.0109,0.0147,0.0953,0.0041,0.0246,0.1506
0,3,0.0009,0.0109,0.0152,0.0982,0.0043,0.0245,0.154
0,4,0.0013,0.0109,0.0165,0.0973,0.0043,0.0247,0.155
0,5,0.001,0.011,0.0166,0.0997,0.0035,0.0237,0.1555
0,6,0.0009,0.0109,0.0173,0.1023,0.004,0.024,0.1594
0,7,0.0013,0.011,0.019,0.1008,0.0043,0.0241,0.1605
0,8,0.0013,0.011,0.0197,0.1006,0.0037,0.0238,0.1601
0,9,0.0014,0.0111,0.0203,0.0998,0.0047,0.0249,0.1622
0,10,0.0015,0.0111,0.0214,0.1027,0.0038,0.0239,0.1644
0,11,0.0009,0.0111,0.0223,0.1132,0.0042,0.0236,0.1753
0,12,0.0012,0.011,0.0225,0.1055,0.0037,0.0236,0.1675
0,13,0.0009,0.0114,0.0233,0.103,0.0037,0.0236,0.1659
0,14,0.0008,0.0111,0.0231,0.1034,0.0041,0.0238,0.1663
0,15,0.0009,0.0129,0.0235,0.1047,0.0036,0.0236,0.1692
0,16,0.0008,0.0113,0.0236,0.1083,0.0037,0.0237,0.1714
0,17,0.0008,0.0113,0.0236,0.1099,0.0035,0.0236,0.1727
0,18,0.0037,0.0112,0.0268,0.1067,0.0038,0.0237,0.1759
0,19,0.0009,0.0112,0.0238,0.1086,0.0038,0.0236,0.1719
0,20,0.0017,0.0114,0.0243,0.1081,0.0037,0.0237,0.1729
0,21,0.001,0.0113,0.0248,0.1179,0.0041,0.0242,0.1833
0,22,0.0008,0.0114,0.0245,0.1151,0.0034,0.0236,0.1788
0,23,0.0008,0.0115,0.0258,0.1185,0.0035,0.0238,0.1839
0,24,0.0009,0.0117,0.0256,0.115,0.0036,0.0236,0.1804
0,25,0.0037,0.0114,0.0256,0.12,0.0034,0.0236,0.1877
0,26,0.0009,0.0118,0.0257,0.1182,0.0037,0.0237,0.184
0,27,0.0008,0.0115,0.0264,0.1193,0.0038,0.0238,0.1856
0,28,0.0008,0.0116,0.0267,0.1167,0.0035,0.0236,0.1829
0,29,0.0008,0.0117,0.0261,0.1202,0.0041,0.0238,0.1867
0,30,0.0008,0.0116,0.0253,0.1211,0.0035,0.0237,0.186
0,31,0.0008,0.0115,0.0256,0.1158,0.0037,0.0274,0.1848
0,32,0.0009,0.0115,0.026,0.1189,0.0037,0.0236,0.1846
0,33,0.0008,0.0117,0.0257,0.1218,0.0035,0.0236,0.1871
0,34,0.001,0.0116,0.0265,0.122,0.0036,0.0241,0.1888
0,35,0.0008,0.0116,0.0262,0.124,0.0035,0.0237,0.1898
0,36,0.0009,0.0117,0.0267,0.1216,0.0038,0.0236,0.1883
0,37,0.0008,0.0118,0.027,0.1235,0.0038,0.0237,0.1906
0,38,0.0009,0.0117,0.0276,0.1206,0.0036,0.0236,0.188
0,39,0.0008,0.0122,0.0274,0.1248,0.0041,0.0241,0.1934
0,40,0.0008,0.0118,0.0279,0.1272,0.0037,0.0236,0.195
0,41,0.0008,0.0119,0.0283,0.1282,0.0035,0.0268,0.1995
0,42,0.0023,0.0144,0.0295,0.1283,0.0034,0.024,0.2019
0,43,0.0016,0.012,0.0277,0.1304,0.0037,0.0237,0.1991
0,44,0.0009,0.012,0.0282,0.1291,0.0041,0.0237,0.198
0,45,0.0011,0.012,0.0284,0.1306,0.0036,0.0237,0.1994
0,46,0.0008,0.012,0.0289,0.1319,0.0037,0.0236,0.2009
0,47,0.0008,0.0122,0.0291,0.1297,0.0037,0.0236,0.1991
0,48,0.0009,0.0121,0.0313,0.129,0.0037,0.024,0.201
0,49,0.001,0.0122,0.03,0.132,0.0035,0.0237,0.2024
0,50,0.0009,0.0122,0.0298,0.1295,0.0037,0.0235,0.1996
0,51,0.0008,0.0123,0.0295,0.1326,0.0036,0.0236,0.2024
0,52,0.0008,0.0123,0.0297,0.1326,0.0037,0.0236,0.2027
0,53,0.0013,0.0123,0.0302,0.1346,0.0041,0.0238,0.2063
0,54,0.0012,0.0123,0.0293,0.1363,0.0037,0.0236,0.2064
0,55,0.0031,0.0129,0.0296,0.1366,0.0041,0.0236,0.2099
0,56,0.0009,0.0124,0.0291,0.1367,0.0036,0.0236,0.2063
