run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0022,0.019,0.0148,0.0984,0.013,0.0297,0.1771
0,1,0.001,0.0173,0.0189,0.0963,0.0117,0.0275,0.1727
0,2,0.0041,0.0176,0.0144,0.0968,0.0078,0.0255,0.1662
0,3,0.0009,0.0205,0.0153,0.0954,0.0132,0.0269,0.1722
0,4,0.0037,0.0177,0.0157,0.0944,0.013,0.0268,0.1713
0,5,0.0009,0.0202,0.0166,0.0977,0.013,0.0268,0.1752
0,6,0.0037,0.0175,0.0174,0.0954,0.0122,0.0273,0.1735
0,7,0.0016,0.0176,0.0183,0.1008,0.0137,0.0268,0.1788
0,8,0.0037,0.0176,0.0189,0.0994,0.0127,0.0266,0.1789
0,9,0.0035,0.0176,0.0202,0.0997,0.0128,0.0268,0.1806
0,10,0.0036,0.0179,0.021,0.1099,0.0127,0.0266,0.1917
0,11,0.0008,0.0204,0.0213,0.1008,0.0117,0.0274,0.1824
0,12,0.0019,0.0183,0.0225,0.1039,0.015,0.0267,0.1883
0,13,0.0038,0.0178,0.0226,0.1011,0.0128,0.028,0.1861
0,14,0.0008,0.0208,0.0228,0.1006,0.0141,0.0268,0.1859
0,15,0.0009,0.0207,0.0231,0.1036,0.0141,0.0268,0.1892
0,16,0.0009,0.0169,0.0235,0.102,0.0117,0.0264,0.1814
0,17,0.0009,0.0169,0.0233,0.1043,0.0116,0.0265,0.1835
0,18,0.0016,0.0176,0.0233,0.1001,0.014,0.0343,0.1909
0,19,0.0009,0.0205,0.0235,0.1044,0.0143,0.0265,0.1901
0,20,0.0021,0.0172,0.024,0.1066,0.0242,0.0343,0.2084
0,21,0.0014,0.0221,0.0244,0.1092,0.0162,0.0338,0.2071
0,22,0.0008,0.0171,0.0244,0.111,0.014,0.0267,0.194
0,23,0.0038,0.0183,0.0254,0.116,0.0151,0.027,0.2056
0,24,0.0035,0.018,0.0248,0.1139,0.0145,0.027,0.2017
0,25,0.0037,0.0181,0.0253,0.1162,0.0143,0.0269,0.2045
0,26,0.0013,0.0192,0.0253,0.1201,0.017,0.0267,0.2096
0,27,0.0034,0.0181,0.0259,0.1168,0.0139,0.0267,0.2048
0,28,0.0041,0.0181,0.0262,0.1171,0.0159,0.0281,0.2095
0,29,0.004,0.0196,0.0262,0.1179,0.015,0.0268,0.2095
0,30,0.0014,0.018,0.0249,0.1175,0.0116,0.027,0.2004
0,31,0.0038,0.0184,0.0254,0.1158,0.014,0.0266,0.204
0,32,0.0017,0.0182,0.0259,0.1177,0.014,0.0265,0.204
0,33,0.0009,0.0248,0.026,0.1194,0.0162,0.0266,0.2139
0,34,0.0009,0.021,0.026,0.1241,0.0122,0.0256,0.2098
0,35,0.0008,0.021,0.0258,0.1262,0.0141,0.0279,0.2158
0,36,0.0008,0.0192,0.0261,0.1205,0.0116,0.0265,0.2047
0,37,0.0035,0.0183,0.0265,0.1249,0.0137,0.0266,0.2135
0,38,0.0008,0.021,0.0273,0.123,0.0172,0.027,0.2163
0,39,0.0044,0.0191,0.0269,0.1225,0.014,0.0267,0.2136
0,40,0.0015,0.0187,0.028,0.1243,0.0112,0.0267,0.2104
0,41,0.0011,0.0196,0.0276,0.1267,0.0139,0.0269,0.2158
0,42,0.0038,0.0187,0.0278,0.1313,0.0149,0.0269,0.2234
0,43,0.0037,0.0186,0.0275,0.1272,0.0149,0.0267,0.2186
0,44,0.0012,0.0179,0.0278,0.1314,0.0115,0.0281,0.2179
0,45,0.0015,0.0193,0.0282,0.1313,0.0138,0.0267,0.2208
0,46,0.0009,0.0198,0.0284,0.1292,0.014,0.0268,0.2191
0,47,0.0007,0.022,0.0289,0.1305,0.015,0.0267,0.2238
0,48,0.0038,0.0189,0.0292,0.1277,0.0144,0.0268,0.2208
0,49,0.0012,0.0249,0.0315,0.1401,0.0127,0.0264,0.2368
0,50,0.0008,0.0203,0.0289,0.1323,0.0139,0.0271,0.2233
0,51,0.001,0.0195,0.0293,0.136,0.0131,0.0269,0.2258
0,52,0.0038,0.0192,0.0292,0.1317,0.0113,0.0273,0.2225
0,53,0.0013,0.0302,0.0297,0.1339,0.017,0.0387,0.2508
0,54,0.0025,0.0251,0.0285,0.1498,0.0152,0.0304,0.2515
0,55,0.0037,0.019,0.029,0.1355,0.014,0.0268,0.228
0,56,0.0038,0.019,0.029,0.1353,0.0138,0.0265,0.2274
0,57,0.0008,0.0205,0.034,0.1356,0.0151,0.027,0.233
0,58,0.0015,0.0194,0.0298,0.1324,0.0149,0.027,0.225
0,59,0.0038,0.0192,0.0302,0.1346,0.0145,0.0271,0.2294
0,60,0.0032,0.0191,0.0304,0.1378,0.0131,0.0267,0.2303
0,61,0.0039,0.019,0.0296,0.1335,0.0147,0.0271,0.2278
0,62,0.0038,0.0222,0.0305,0.1366,0.014,0.0269,0.234
0,63,0.0023,0.0192,0.0297,0.1326,0.0164,0.0265,0.2267
0,64,0.0036,0.019,0.0304,0.1326,0.0146,0.0271,0.2273
0,65,0.0035,0.0191,0.0307,0.1347,0.0146,0.0299,0.2325
0,66,0.001,0.0207,0.0302,0.1332,0.0146,0.0275,0.2272
0,67,0.0015,0.0195,0.0301,0.1351,0.014,0.0267,0.2269
0,68,0.0009,0.0223,0.0304,0.1337,0.0142,0.0265,0.228
