run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0028,2.9473,0.0992,2.0382,1.0498,0.2611,6.3984
0,1,0.0021,2.12,0.1083,2.0402,1.049,0.2479,5.5675
0,2,0.0026,2.1226,0.1211,2.1964,1.053,0.2555,5.7512
0,3,0.0026,2.1553,0.1279,2.0484,1.0527,0.2486,5.6355
0,4,0.0021,2.1209,0.1384,2.052,1.0522,0.3161,5.6817
0,5,0.0027,2.1405,0.1512,2.0605,1.0639,0.2485,5.6673
0,6,0.0026,2.3716,0.1689,2.0963,1.0591,0.3022,6.0007
0,7,0.0031,2.1965,0.1826,2.1169,1.1413,0.2526,5.893
0,8,0.0022,2.123,0.1939,2.0618,1.049,0.2497,5.6796
0,9,0.003,2.1366,0.21,2.1293,1.0477,0.2516,5.7782
0,10,0.0026,2.1234,0.2296,2.0787,1.0508,0.2526,5.7377
0,11,0.0023,2.1215,0.2415,2.0821,1.05,0.2489,5.7463
0,12,0.0026,2.1457,0.2567,2.0801,1.0507,0.2513,5.7871
0,13,0.002,2.1223,0.2676,2.0932,1.075,0.2532,5.8133
0,14,0.0024,2.1889,0.2883,2.1528,1.0767,0.2547,5.9638
0,15,0.0023,2.1685,0.3022,2.1467,1.0729,0.2567,5.9493
0,16,0.0027,2.2023,0.323,2.2177,1.0758,0.2616,6.0831
0,17,0.0022,2.2189,0.3335,2.1668,1.0767,0.2534,6.0515
0,18,0.0027,2.1703,0.3472,2.1585,1.0842,0.2612,6.0241
0,19,0.0028,2.1783,0.3488,2.1854,1.0454,0.251,6.0117
0,20,0.0026,2.1272,0.3517,2.1223,1.0573,0.2511,5.9122
0,21,0.0025,2.1283,0.358,2.1219,1.0476,0.2515,5.9098
0,22,0.0026,2.1557,0.3707,2.1769,1.0738,0.2574,6.0371
0,23,0.0032,2.2459,0.384,2.1814,1.0728,0.2559,6.1432
0,24,0.0021,2.1889,0.4039,2.2408,1.0993,0.2595,6.1945
0,25,0.0072,2.2439,0.3984,2.338,1.0984,0.2624,6.3483
0,26,0.0026,2.2143,0.4108,2.1928,1.1631,0.2609,6.2445
0,27,0.0024,2.2173,0.4099,2.2483,1.1249,0.2658,6.2686
0,28,0.0023,2.2109,0.419,2.247,1.098,0.26,6.2372
0,29,0.0023,2.2131,0.4273,2.2773,1.0991,0.2593,6.2784
0,30,0.0025,2.2097,0.4343,2.2594,1.099,0.2599,6.2648
0,31,0.0023,2.2102,0.4349,2.2563,1.0973,0.2632,6.2642
0,32,0.0022,2.2224,0.4467,2.2617,1.1639,0.2646,6.3615
0,33,0.0074,2.2052,0.4387,2.2319,1.095,0.2518,6.23
0,34,0.0026,2.1448,0.4391,2.168,1.0508,0.2512,6.0565
0,35,0.0023,2.12,0.4385,2.1724,1.0509,0.2479,6.032
0,36,0.0021,2.1152,0.4468,2.2463,1.1755,0.2718,6.2577
0,37,0.0027,2.2581,0.4774,2.2791,1.099,0.2635,6.3798
0,38,0.0021,2.2315,0.4741,2.2857,1.8051,0.2581,7.0566
0,39,0.0024,2.2038,0.4752,2.2358,1.0736,0.2561,6.2469
0,40,0.0022,2.2552,0.4922,2.2941,1.113,0.2634,6.4201
0,41,0.0026,2.2148,0.5006,2.2887,1.099,0.2606,6.3663
0,42,0.0023,2.2262,0.5057,2.2998,1.0981,0.2629,6.395
0,43,0.0028,2.184,0.4975,2.3454,1.0489,0.2521,6.3307
0,44,0.0022,2.1217,0.4886,2.1927,1.0491,0.2498,6.1041
0,45,0.0026,2.2556,0.4976,2.2082,1.0523,0.2512,6.2675
0,46,0.0021,2.1109,0.535,2.2152,1.05,0.2451,6.1583
0,47,0.0024,2.1481,0.5035,2.2649,1.0925,0.2556,6.267
0,48,0.0027,2.1231,0.5135,2.2161,1.0503,0.2517,6.1574
0,49,0.0026,2.1125,0.5099,2.2222,1.0529,0.2522,6.1523
0,50,0.0021,2.1074,0.5147,2.2421,1.0523,0.2486,6.1672
0,51,0.0026,2.1329,0.5285,2.2154,1.0481,0.2514,6.1789
0,52,0.0025,2.257,0.532,2.2274,1.0471,0.2508,6.3168
0,53,0.0022,2.1102,0.5359,2.2385,1.0544,0.2499,6.1911
0,54,0.0027,2.1195,0.5431,2.2326,1.0672,0.2519,6.217
0,55,0.0023,2.1199,0.5404,2.234,1.0463,0.2498,6.1927
0,56,0.0066,2.1159,0.6908,2.2377,1.05,0.2556,6.3566
0,57,0.0022,2.1016,0.5484,2.2395,1.179,0.2598,6.3305
0,58,0.0026,2.1132,0.6133,2.2534,1.0502,0.2481,6.2808
0,59,0.0026,2.1145,0.5642,2.2562,1.0529,0.2589,6.2493
0,60,0.0024,2.1098,0.5699,2.2874,1.0519,0.2511,6.2725
0,61,0.0023,2.1043,0.5753,2.2532,1.0513,0.2488,6.2352
0,62,0.0027,2.132,0.5986,2.3162,1.0794,0.2571,6.386
0,63,0.0026,2.1691,0.6057,2.3016,1.0738,0.2558,6.4086
0,64,0.0025,2.2297,0.6165,2.3687,1.1842,0.2618,6.6634
0,65,0.0024,2.2167,0.6191,2.3698,1.0998,0.2613,6.5691
0,66,0.0027,2.2928,0.6232,2.3742,1.0998,0.2614,6.6541
0,67,0.0022,2.2192,0.6529,2.4664,1.0982,0.2624,6.7013
0,68,0.0027,2.1717,0.6215,2.3224,1.1806,0.2514,6.5503
0,69,0.0023,2.1218,0.6142,2.2924,1.0518,0.2521,6.3346
0,70,0.0025,2.1128,0.6071,2.2893,1.0513,0.25,6.313
0,71,0.0021,2.1095,0.619,2.3261,1.061,0.2482,6.3659
0,72,0.0027,2.1518,0.6379,2.3445,1.0746,0.2563,6.4678
0,73,0.0021,2.176,0.6395,2.4052,1.1003,0.2608,6.5839
0,74,0.0027,2.1863,0.8023,2.2997,1.0496,0.2513,6.5919
0,75,0.0023,2.0917,0.6255,2.4581,1.2368,0.2555,6.6699
0,76,0.0027,2.0979,0.6325,2.302,1.0482,0.2544,6.3377
0,77,0.0023,2.1607,0.6677,2.3023,1.0538,0.2559,6.4427
0,78,0.0026,2.0982,0.6364,2.4472,1.0492,0.2512,6.4848
0,79,0.0023,2.0953,0.6393,2.3285,1.1864,0.2505,6.5023
0,80,0.0024,2.1056,0.6521,2.3088,1.0487,0.2501,6.3677
0,81,0.0024,2.2263,0.6421,2.3068,1.0492,0.2498,6.4766
0,82,0.0035,2.1489,0.6756,2.431,1.0491,0.2523,6.5604
0,83,0.0021,2.0975,0.6575,2.3159,1.07,0.4031,6.5461
0,84,0.0026,2.0981,0.6791,2.3232,1.0503,0.2524,6.4057
0,85,0.0022,2.1913,0.66,2.326,1.0515,0.2526,6.4836
0,86,0.0024,2.1042,0.6655,2.4073,1.0508,0.2495,6.4797
0,87,0.0027,2.0953,0.6682,2.3752,1.0521,0.3079,6.5014
0,88,0.0026,2.0997,0.6739,2.3706,1.0535,0.2528,6.4531
0,89,0.0023,2.1062,0.688,2.3446,1.0504,0.2509,6.4424
0,90,0.0023,2.1051,0.6762,2.3591,1.1538,0.2572,6.5537
0,91,0.0024,2.1648,0.6914,2.3941,1.0746,0.2565,6.5838
0,92,0.0023,2.5177,0.8309,2.6633,1.0508,0.2693,7.3343
0,93,0.0026,2.0949,0.8333,2.346,1.0507,0.2537,6.5812
0,94,0.0084,2.0917,0.6875,2.3478,1.0479,0.2517,6.435
0,95,0.0025,2.0896,0.6969,2.3525,1.0494,0.2527,6.4436
0,96,0.0026,2.2606,0.7058,2.3669,1.0555,0.2549,6.6463
0,97,0.0026,2.1397,0.9034,2.3883,1.0536,0.2519,6.7395
0,98,0.0025,2.0931,0.6894,2.3624,1.0488,0.2532,6.4494
0,99,0.002,2.1249,0.6973,2.3663,1.0649,0.3072,6.5626
0,100,0.0028,2.3211,0.703,2.3699,1.0506,0.2485,6.6959
0,101,0.0026,2.1141,0.7176,2.5377,1.0495,0.2514,6.6729
0,102,0.0026,2.0973,0.7038,2.3787,1.0505,0.2516,6.4845
0,103,0.0025,2.1123,0.717,2.3857,1.0487,0.2521,6.5183
0,104,0.0026,2.1927,0.717,2.3861,1.052,0.2515,6.6019
0,105,0.0027,2.1352,0.72,2.4694,1.05,0.25,6.6273
0,106,0.0028,2.0982,0.7229,2.4024,1.2693,0.2739,6.7695
0,107,0.0026,2.0932,0.7204,2.3863,1.0503,0.2524,6.5052
0,108,0.0026,2.0925,0.7327,2.3944,1.0503,0.2497,6.5222
0,109,0.0026,2.1327,0.7381,2.656,1.0508,0.2516,6.8318
0,110,0.0026,2.0915,0.7385,2.4013,1.0496,0.2515,6.535
0,111,0.0035,2.2656,0.7447,2.4653,1.1611,0.2942,6.9344
0,112,0.0027,2.2213,0.7464,2.4124,1.0506,0.2515,6.6849
