run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0126,0.2336,0.1273,1.7687,0.0696,0.5711,2.7829
0,1,0.0092,0.2074,0.097,1.7855,0.0697,0.5765,2.7453
0,2,0.0088,0.2171,0.1024,1.8452,0.0701,0.5766,2.8202
0,3,0.0098,0.1998,0.1145,1.8174,0.0696,0.5833,2.7944
0,4,0.0075,0.2098,0.1142,1.8271,0.0744,0.5746,2.8076
0,5,0.0081,0.2109,0.1352,1.9932,0.0704,0.5843,3.0021
0,6,0.0059,0.213,0.1359,1.9511,0.0819,0.5916,2.9794
0,7,0.0075,0.2038,0.1614,1.8273,0.0734,0.6005,2.8739
0,8,0.007,0.2003,0.171,1.8785,0.0733,0.5836,2.9137
0,9,0.0065,0.1983,0.1805,1.8361,0.075,0.5781,2.8745
0,10,0.0061,0.2078,0.1959,1.8323,0.0698,0.5803,2.8922
0,11,0.008,0.1993,0.201,1.8382,0.0696,0.5755,2.8916
0,12,0.007,0.2118,0.2163,1.8517,0.0692,0.594,2.95
0,13,0.0066,0.2207,0.2395,2.0535,0.0825,0.6043,3.2071
0,14,0.0066,0.2109,0.2486,1.8457,0.072,0.579,2.9628
0,15,0.0106,0.2123,0.2614,1.8319,0.0682,0.5837,2.9681
0,16,0.0074,0.2065,0.2457,1.8542,0.0655,0.5403,2.9196
0,17,0.0079,0.1963,0.2597,1.7306,0.0652,0.5859,2.8456
0,18,0.007,0.2062,0.2794,1.842,0.0775,0.5467,2.9588
0,19,0.0068,0.2043,0.2793,1.7372,0.0649,0.5427,2.8352
0,20,0.007,0.2059,0.2988,1.7557,0.0691,0.5632,2.8997
0,21,0.0058,0.2097,0.3537,1.801,0.0688,0.5459,2.9849
0,22,0.0065,0.2015,0.311,1.7638,0.065,0.5978,2.9456
0,23,0.0088,0.2102,0.3107,1.752,0.065,0.5455,2.8922
0,24,0.0069,0.209,0.3203,1.8742,0.0647,0.5514,3.0265
0,25,0.0073,0.9455,0.3328,1.7385,0.0642,0.5488,3.6371
0,26,0.0072,0.205,0.3404,1.7452,0.0659,0.5472,2.9109
0,27,0.011,0.2046,0.3505,1.7579,0.0651,0.6953,3.0844
0,28,0.0095,0.2232,0.3595,1.7946,0.0653,0.5579,3.01
0,29,0.008,0.209,0.3577,1.7847,0.0711,0.5575,2.988
0,30,0.008,0.2157,0.3765,1.7529,0.0656,0.5467,2.9654
0,31,0.0081,0.2116,0.3858,1.9149,0.0822,0.5468,3.1494
0,32,0.0063,0.2083,0.4825,1.7865,0.1769,0.5513,3.2118
0,33,0.0068,0.2015,0.3659,1.7526,0.0653,0.5457,2.9378
0,34,0.0066,0.2025,0.3597,1.7783,0.0665,0.5549,2.9685
0,35,0.0111,0.2009,0.4449,1.9232,0.0668,0.5501,3.197
0,36,0.0061,0.2226,0.3867,1.8471,0.0787,0.5701,3.1113
0,37,0.0077,0.2265,0.3865,1.7768,0.0707,0.5436,3.0118
0,38,0.0067,0.2112,0.3861,1.8152,0.0705,0.6834,3.1731
0,39,0.0063,0.221,0.3865,1.7994,0.0665,0.5501,3.0298
0,40,0.0081,0.3482,0.4059,1.8279,0.0674,0.5642,3.2217
0,41,0.0066,0.2239,0.4043,1.7943,0.0659,0.5745,3.0695
0,42,0.0076,0.22,0.411,1.8073,0.0657,0.5466,3.0582
0,43,0.0087,0.3994,0.6616,1.8112,0.0657,0.5471,3.4937
0,44,0.0063,0.2161,0.4044,1.7573,0.0641,0.5369,2.9851
0,45,0.0077,0.2188,0.4239,1.7645,0.066,0.5522,3.0331
0,46,0.0082,0.2338,0.4252,1.7608,0.0655,0.5397,3.0332
0,47,0.0071,0.2178,0.4229,1.808,0.0722,0.5569,3.0849
0,48,0.0083,0.2302,0.4361,1.8093,0.067,0.5505,3.1014
0,49,0.0077,0.2222,0.4528,1.8421,0.0735,0.5654,3.1637
0,50,0.0106,0.2344,0.4508,1.7768,0.0695,0.5553,3.0974
0,51,0.007,0.22,0.444,1.802,0.0655,0.5469,3.0854
0,52,0.006,0.2402,0.4463,1.8499,0.066,0.5519,3.1603
0,53,0.0067,0.23,0.483,1.8451,0.0797,0.5521,3.1966
0,54,0.0064,0.2327,0.5914,1.781,0.0645,0.5504,3.2264
0,55,0.0113,0.2327,0.4662,1.8154,0.0645,0.5495,3.1396
0,56,0.0072,0.2228,0.4746,1.7743,0.0678,0.5585,3.1052
0,57,0.0066,0.2477,0.4677,1.7696,0.0698,0.6229,3.1843
0,58,0.0087,0.232,0.5017,1.8522,0.0683,0.5642,3.2271
0,59,0.0069,0.2316,0.4961,1.8576,0.0686,0.6081,3.2689
0,60,0.0079,0.2394,0.5128,1.8663,0.0717,0.5599,3.258
0,61,0.0077,0.2436,0.5098,1.9018,0.0702,0.5783,3.3114
0,62,0.0075,0.2414,0.6052,2.1096,0.0701,0.5872,3.621
0,63,0.0066,0.2411,0.7143,2.1321,0.069,0.5804,3.7435
0,64,0.0063,0.2416,0.5122,1.9105,0.0739,0.5669,3.3114
0,65,0.0069,0.2422,0.53,1.9111,0.0718,0.6208,3.3828
0,66,0.0074,0.2478,0.5712,1.9147,0.0695,0.5754,3.386
0,67,0.0085,0.2368,0.5045,1.7992,0.0643,1.0837,3.697
0,68,0.0083,0.267,0.537,1.9855,0.0649,0.547,3.4097
0,69,0.0089,0.2309,0.515,1.7888,0.0717,0.5448,3.1601
0,70,0.0064,0.2232,0.5114,1.7918,0.064,0.5433,3.1401
0,71,0.0073,0.2418,0.532,1.8587,0.0666,0.556,3.2624
0,72,0.0067,0.2367,0.5375,1.9022,0.0692,0.5623,3.3146
0,73,0.0074,0.2458,0.5505,1.9501,0.0694,0.5764,3.3996
0,74,0.0068,0.2529,0.5573,1.9307,0.0739,0.5834,3.405
0,75,0.007,0.2502,0.6138,1.9742,0.0699,0.5773,3.4924
0,76,0.0092,0.4612,0.7659,2.1096,0.0688,0.589,4.0037
0,77,0.0061,0.2347,0.5332,1.805,0.0682,0.5474,3.1946
0,78,0.0088,0.2389,0.547,1.8105,0.067,0.5593,3.2315
0,79,0.0096,0.2263,0.5327,2.0218,0.0728,0.5439,3.4071
0,80,0.0098,0.2249,0.5385,1.8924,0.0681,0.5423,3.276
0,81,0.0062,0.2287,0.5392,1.8038,0.07,0.5362,3.1841
0,82,0.0063,0.226,0.5422,1.8434,0.0639,0.5423,3.2241
0,83,0.0058,0.2271,0.5426,1.8226,0.0653,0.542,3.2054
0,84,0.0056,0.2346,0.5703,1.8936,0.0666,0.5574,3.3281
0,85,0.0062,0.2402,0.5628,1.9078,0.0675,0.568,3.3525
0,86,0.0061,0.2533,0.5821,1.9425,0.0685,0.5713,3.4238
0,87,0.0056,0.2548,0.5977,1.9436,0.0684,0.5799,3.45
0,88,0.0069,0.2541,0.5942,1.9533,0.0684,0.5757,3.4526
0,89,0.0077,0.2541,0.6051,1.9523,0.0704,0.5772,3.4668
0,90,0.008,0.2558,0.6257,1.9492,0.0683,0.5817,3.4887
0,91,0.0063,0.2518,0.5979,1.9869,0.0684,0.5829,3.4942
0,92,0.0057,0.2624,0.6325,2.0031,0.0764,0.5966,3.5767
0,93,0.0058,0.2549,0.6148,1.9956,0.0729,0.5948,3.5388
0,94,0.0063,0.2564,0.6076,2.0034,0.0698,0.6602,3.6037
0,95,0.0104,0.2679,0.6411,1.9911,0.0685,0.5805,3.5595
0,96,0.0066,0.2595,0.6338,1.9619,0.0763,0.5744,3.5125
0,97,0.0061,0.2548,0.6147,2.1367,0.0847,0.5863,3.6833
0,98,0.0078,0.2415,0.5759,1.8325,0.0671,0.5502,3.275
0,99,0.0097,0.2658,0.6155,1.844,0.0669,0.5506,3.3525
0,100,0.009,0.4656,0.5854,1.8379,0.0672,0.5431,3.5082
0,101,0.0082,0.2435,0.5804,1.8622,0.0703,0.5503,3.3149
0,102,0.0135,0.4163,0.7315,1.8948,0.0678,0.5469,3.6708
0,103,0.0087,0.2411,0.5984,1.8466,0.0668,0.5484,3.31
0,104,0.0082,0.2444,0.5892,1.8629,0.0667,0.7856,3.557
0,105,0.008,0.2486,0.6012,1.92,0.0669,0.557,3.4017
0,106,0.0104,0.2489,0.6103,1.8836,0.0697,0.5509,3.3738
0,107,0.0082,0.2481,0.6066,1.8499,0.0669,0.7751,3.5548
0,108,0.0089,0.2509,0.6035,1.8794,0.0777,0.5537,3.3741
0,109,0.009,0.2469,0.6198,1.8984,0.0687,0.5551,3.3979
0,110,0.0095,0.2499,0.6228,2.093,0.0766,0.5427,3.5945
