run,tick,insert,gravity,movement,behavior,reset,paint,total
0,0,0.0067,0.0463,0.0326,0.5959,0.0278,0.1545,0.8638
0,1,0.0054,0.0574,0.0352,0.6034,0.0291,0.1449,0.8754
0,2,0.0057,0.0581,0.0306,0.4979,0.0293,0.1491,0.7707
0,3,0.005,0.0569,0.0334,0.4799,0.0249,0.1466,0.7467
0,4,0.005,0.0502,0.0365,0.4849,0.022,0.1439,0.7425
0,5,0.0049,0.0573,0.0437,0.4899,0.0262,0.1481,0.7701
0,6,0.0039,0.0336,0.045,0.4834,0.0316,0.1425,0.74
0,7,0.0046,0.0618,0.0432,0.4793,0.0237,0.1505,0.7631
0,8,0.0048,0.055,0.0513,0.4957,0.0306,0.1498,0.7872
0,9,0.0046,0.0525,0.0703,0.6165,0.0335,0.1541,0.9315
0,10,0.0057,0.0555,0.0511,0.5102,0.0478,0.1534,0.8237
0,11,0.0046,0.057,0.0693,0.6235,0.0388,0.1533,0.9465
0,12,0.0064,0.0491,0.0565,0.4802,0.0285,0.1504,0.7711
0,13,0.005,0.0543,0.0732,0.6067,0.0291,0.1516,0.9199
0,14,0.0051,0.054,0.0615,0.4815,0.0285,0.1453,0.7759
0,15,0.0048,0.0541,0.0629,0.4885,0.025,0.1504,0.7857
0,16,0.0048,0.0502,0.0835,0.5786,0.0627,0.1724,0.9522
0,17,0.0043,0.064,0.0672,0.4743,0.0543,0.1514,0.8155
0,18,0.005,0.0636,0.0681,0.4714,0.044,0.1803,0.8324
0,19,0.0068,0.0939,0.0744,0.4758,0.0877,0.1849,0.9235
0,20,0.007,0.0871,0.071,0.4704,0.0714,0.1688,0.8757
0,21,0.0061,0.0649,0.0712,0.4685,0.0449,0.1717,0.8273
0,22,0.0049,0.0641,0.0726,0.4767,0.0399,0.1983,0.8565
0,23,0.0057,0.0909,0.08,0.4732,0.0542,0.1797,0.8837
0,24,0.0069,0.0951,0.0792,0.4695,0.0439,0.1747,0.8693
0,25,0.006,0.065,0.0792,0.4727,0.0412,0.1762,0.8403
0,26,0.0059,0.0568,0.0819,0.4633,0.0447,0.1715,0.8241
0,27,0.006,0.0929,0.0842,0.4733,0.0615,0.186,0.9039
0,28,0.0066,0.0995,0.0842,0.4878,0.065,0.1653,0.9084
0,29,0.0044,0.1088,0.0888,0.5304,0.0237,0.1447,0.9008
0,30,0.0046,0.0364,0.1146,0.6097,0.0278,0.1436,0.9367
0,31,0.0058,0.0542,0.0854,0.4895,0.0255,0.1457,0.8061
0,32,0.004,0.0417,0.0868,0.4643,0.0261,0.1497,0.7726
0,33,0.0049,0.0588,0.0889,0.4668,0.0286,0.1421,0.7901
0,34,0.0047,0.0555,0.1134,0.609,0.029,0.1453,0.9569
0,35,0.006,0.0513,0.0908,0.4658,0.0265,0.143,0.7834
0,36,0.0045,0.0422,0.1176,0.6137,0.0392,0.1486,0.9658
0,37,0.0049,0.0449,0.1257,0.6114,0.0437,0.1792,1.0098
